latin,norsk,svensk,status,count
Xenus cinereus,tereksnipe,tereksnäppa,,275
Anthus campestris,markpiplerke,fältpiplärka,,270
Coracias garrulus,blåråke,blåkråka,,268
Anas rubripes,rødfotand,svartand,,266
Oxyura jamaicensis,stivhaleand,amerikansk kopparand,LO,264
Motacilla tschutschensis,østgulerle,östlig gulärla,,257
Emberiza melanocephala,svarthodespurv,svarthuvad sparv,,257
Aythya nyroca,hvitøyeand,vitögd dykand,,244
Anser rossii,eskimogås,dvärgsnögås,,242
Calidris himantopus,styltesnipe,styltsnäppa,,238
Galerida cristata,topplerke,tofslärka,RE,234
Anthus rubescens,kanadapiplerke,hedpiplärka,,226
Lanius cristatus,brunvarsler,brun törnskata,,224
Calidris pusilla,sandsnipe,sandsnäppa,,212
Zapornia parva,sumprikse,mindre sumphöna,,211
Larus glaucescens,gråvingemåke,gråvingad trut,,211
Bubo scandiacus,snøugle,fjälluggla,CR,211
Limnodromus scolopaceus,langnebbekkasinsnipe,större beckasinsnäppa,,210
Himantopus himantopus,stylteløper,styltlöpare,,208
Curruca cantillans,rødsmekkesanger,rödstrupig sångare,,207
Anthus godlewskii,mongolpiplerke,mongolpiplärka,,205
Actitis macularius,flekksnipe,fläckdrillsnäppa,,203
Calidris bairdii,gulbrystsnipe,gulbröstad snäppa,,201
Nycticorax nycticorax,natthegre,natthäger,,198
Bucanetes githagineus,trompetfink,ökentrumpetare,,197
Porzana carolina,maskerikse,karolinasumphöna,,190
Ardeola ralloides,topphegre,rallhäger,,189
Glareola nordmanni,steppebrakksvale,svartvingad vadarsvala,,186
Oenanthe isabellina,isabellasteinskvett,isabellastenskvätta,,182
Locustella lanceolata,stripesanger,träsksångare,,179
Cyanistes cyanus,asurmeis,azurmes,,176
Anthus gustavi,tundrapiplerke,tundrapiplärka,,175
Aix sponsa,brudeand,brudand,LO,172
Mareca sibilatrix,sørblesand,chilebläsand,LO,171
Prunella montanella,sibirjernspurv,sibirisk järnsparv,,166
Histrionicus histrionicus,harlekinand,strömand,,158
Ficedula albicollis,halsbåndfluesnapper,halsbandsflugsnappare,,157
Sterna dougallii,rosenterne,rosentärna,,160
Spatula discors,blåvingeand,blåvingad årta,,154
Cygnus atratus,svartsvane,svart svan,LO,152
Branta hutchinsii,polargås,polargås,,148
Curruca iberiae,rødbrystsanger,rostsångare,,144
Acrocephalus agricola,åkersanger,fältsångare,,142
Iduna pallida,bleksanger,eksångare,,138
Strix uralensis,slagugle,slaguggla,EN,133
Phylloscopus schwarzi,viersanger,videsångare,,131
Ciconia nigra,svartstork,svart stork,,128
Lophodytes cucullatus,hjelmfiskand,kamskrake,LO,128
Tringa semipalmata,willetsnipe,willet,,126
Glareola maldivarum,orientbrakksvale,orientvadarsvala,,122
Bucephala islandica,islandsand,islandsknipa,,122
Apus pallidus,gråseiler,blek tornseglare,,121
Phylloscopus bonelli,eikesanger,bergsångare,,120
Junco hyemalis,vinterjunko,mörkögd junco,,113
Ardea purpurea,purpurhegre,purpurhäger,,111
Lanius nubicus,hvitpannevarsler,masktörnskata,,110
Melospiza melodia,sangspurv,sångsparv,,109
Vanellus cinereus,gråhodevipe,gråhuvad vipa,,109
Puffinus mauretanicus,balearlire,balearisk lira,,107
Curruca nana,ørkensanger,ökensångare,,106
Ichthyaetus ichthyaetus,steppemåke,svarthuvad trut,,104
Iduna caligata,tartarsanger,stäppsångare,,95
Chlidonias hybrida,hvitkinnsvartterne,skäggtärna,,94
Psittacula krameri,halsbåndparakitt,halsbandsparakit,LO,90
Tachymarptis melba,alpeseiler,alpseglare,,87
Aquila heliaca,keiserørn,kejsarörn,,85
Tetrax tetrax,dvergtrappe,småtrapp,,85
Lanius phoenicuroides,rødhalevarsler,turkestantörnskata,,83
Melanitta americana,amerikasvartand,amerikansk sjöorre,,79
Vireo olivaceus,rødøyevireo,rödögd vireo,,77
Emberiza aureola,sibirspurv,gyllensparv,,74
Leucophaeus atricilla,lattermåke,sotvingad mås,,74
Muscicapa sibirica,gråflankefluesnapper,sibirisk flugsnappare,,73
Acrocephalus paludicola,vannsanger,vattensångare,,73
Bucephala albeola,bøffeland,buffelhuvud,,73
Calonectris diomedea,poseidonlire,scopolilira,,72
Calidris acuminata,spisshalesnipe,spetsstjärtad snäppa,,71
Emberiza spodocephala,gråhodespurv,gråhuvad sparv,,67
Prunella atrogularis,svartstrupejernspurv,svartstrupig järnsparv,,67
Tringa melanoleuca,plystresnipe,större gulbena,,66
Curruca melanocephala,svarthodesanger,sammetshätta,,66
Syrrhaptes paradoxus,steppehøne,stäppflyghöna,,64
Gypaetus barbatus,lammegribb,lammgam,,62
Melanitta deglandi,amerikasjøorre,amerikansk knölsvärta,,78
Phalaropus tricolor,hvithalesvømmesnipe,wilsonsimsnäppa,,63
Limnodromus griseus,kortnebbekkasinsnipe,mindre beckasinsnäppa,,61
Catharus minimus,gråkinnskogtrost,gråkindad skogstrast,,61
Lanius isabellinus,isabellavarsler,isabellatörnskata,,59
Tyto alba,tårnugle,tornuggla,,59
Vanellus leucurus,sumpvipe,sumpvipa,,57
Calidris mauri,beringsnipe,tundrasnäppa,,56
Calidris ruficollis,rødstrupesnipe,rödhalsad snäppa,,56
Zoothera aurea,gulltrost,guldtrast,,55
Neophron percnopterus,åtselgribb,smutsgam,,53
Falco naumanni,rødfalk,rödfalk,,53
Turdus eunomus,svartflekktrost,bruntrast,,53
Zonotrichia albicollis,hvitstrupespurv,vitstrupig sparv,,52
Buteo rufinus,ørnvåk,örnvråk,,50
Cecropis daurica,tempelsvale,rostgumpsvala,,48
Tringa solitaria,eremittsnipe,amerikansk skogssnäppa,,46
Catharus ustulatus,brunkinnskogtrost,beigekindad skogstrast,,45
Iduna rama,ramasanger,saxaulsångare,,45
Setophaga striata,svarthetteparula,vitkindad skogssångare,,45
Emberiza elegans,gulstrupespurv,praktsparv,,44
Phoenicopterus roseus,rosenflamingo,större flamingo,,43
Melanocorypha calandra,kalanderlerke,kalanderlärka,,42
Ardenna gravis,storlire,större lira,,42
Aquila nipalensis,steppeørn,stäppörn,,39
Pelecanus crispus,krøllpelikan,krushuvad pelikan,,38
Thalassarche melanophris,svartbrynalbatross,svartbrynad albatross,,38
Setophaga tigrina,brunkinnparula,brunkindad skogssångare,,35
Botaurus minutus,dvergrørdrum,dvärgrördrom,,33
Gallinago delicata,kanadabekkasin,wilsonbeckasin,,33
Melanocorypha bimaculata,fjellkalanderlerke,asiatisk kalanderlärka,,33
Ficedula albicilla,taigafluesnapper,tajgaflugsnappare,,33
Zonotrichia leucophrys,hvitkronespurv,vitkronad sparv,,31
Glareola pratincola,brakksvale,rödvingad vadarsvala,,30
Emberiza caesia,rustspurv,rostsparv,,29
Hippolais polyglotta,spottesanger,polyglottsångare,,29
Emberiza buchanani,rødbrystspurv,bergortolan,,29
Catharus fuscescens,viriskogtrost,rostskogstrast,,27
Emberiza bruniceps,brunhodespurv,stäppsparv,,27
Turdus naumanni,rødflekktrost,rödtrast,,27
Anas bahamensis,hvitkinnand,bahamaand,LO,24
Alectoris chukar,berghøne,berghöna,LO,23
Curruca crassirostris,mestersanger,mästersångare,,22
Charadrius semipalmatus,amerikasandlo,flikstrandpipare,,21
Seiurus aurocapilla,ovnparula,brandkronad skogssångare,,21
Aegypius monachus,munkegribb,grågam,,21
Emberiza pallasi,krattspurv,dvärgsävsparv,,20
Phylloscopus orientalis,furusanger,balkansångare,,19
Passerculus sandwichensis,musespurv,grässparv,,19
Spatula cyanoptera,kaneland,kanelårta,LO,19
Anser cygnoides,svanegås,svangås,LO,17
Circaetus gallicus,slangeørn,ormörn,,16
Phoenicopterus chilensis,chileflamingo,chileflamingo,,16
Pheucticus ludovicianus,rosenbrysttykknebb,brokig kardinal,,16
Ptyonoprogne rupestris,klippesvale,klippsvala,,15
Anarhynchus asiaticus,rødbrystlo,kaspisk pipare,,14
Geokichla sibirica,sibirtrost,sibirisk trast,,14
Pelecanus onocrotalus,hvitpelikan,vit pelikan,,13
Bartramia longicauda,præriesnipe,piparsnäppa,,13
Icterus galbula,lundtrupial,baltimoretrupial,,13
Geothlypis trichas,nordgulstrupe,gulhake,,13
Chrysolophus pictus,gullfasan,guldfasan,,13
Anarhynchus mongolus,kamtsjatkalo,kamtjatkapipare,,13
Coturnix japonica,engvaktel,japansk vaktel,HI,12
Merops persicus,blåkinnbieter,grön biätare,,12
Phylloscopus nitidus,einersanger,kaukasisk lundsångare,,12
Dendrocoptes medius,mellomspett,mellanspett,,11
Hydrobates monorhis,japanstormsvale,koreastormsvala,,10
Emberiza rutila,kastanjespurv,rödbrun sparv,,10
Numenius hudsonicus,tundraspove,amerikansk småspov,,10
Nymphicus hollandicus,nymfekakadu,nymfparakit,,9
Empidonax alnorum,oreempid,alempid,,9
Setophaga coronata,myrteparula,myrtenskogssångare,,9
Charadrius vociferus,tobeltelo,skrikstrandpipare,,8
Turdus obscurus,gråstrupetrost,gråhalsad trast,,8
Clamator glandarius,skjæregjøk,skatgök,,8
Somateria fischeri,brilleærfugl,glasögonejder,,8
Passerina amoena,lazulispurv,lazulikardinal,,8
Pavo cristatus,indiapåfugl,påfågel,,8
Passerina cyanea,indigospurv,turkoskardinal,,7
Phylloscopus plumbeitarsus,ospesanger,sibirisk lundsångare,,7
Oenanthe hispanica,punersteinskvett,västlig medelhavsstenskvätta,,7
Mniotilta varia,klatreparula,svartvit skogssångare,,6
Otus scops,dverghornugle,dvärguv,,6
Anser canagicus,keisergås,kejsargås,LO,6
Thalassarche chlororhynchos,gulnesealbatross,mindre albatross,,5
